,0,1,2,3,4,5
0,inf,inf,inf,0.11014446653765597,-0.10310642413773707,0.022688865557113802
1,inf,inf,inf,0.10574369495969504,-0.10445783003587228,0.021738651449050517
2,inf,inf,inf,0.10574369495969504,-0.10445783003587228,0.021738651449050517
3,inf,inf,inf,0.11375450394236164,-0.08272293454272428,0.0224043349930092
4,inf,inf,inf,0.11375450394236164,-0.08272293454272428,0.0224043349930092
5,inf,inf,inf,0.10750676638309065,-0.10561455542233356,0.022066084957178322
6,inf,inf,inf,0.10750676638309065,-0.10561455542233356,0.022066084957178322
7,inf,inf,inf,-0.10954279587283933,0.22129896081437334,0.03611954391716543
8,inf,inf,inf,-0.10954279587283933,0.22129896081437334,0.03611954391716543
9,inf,inf,inf,-0.10356402920628482,0.22391248183443202,0.039355198848574524
10,inf,inf,inf,-0.10356402920628482,0.22391248183443202,0.039355198848574524
11,inf,inf,inf,-0.10356402920628482,0.22391248183443202,0.039355198848574524
12,inf,inf,inf,inf,inf,inf
13,inf,inf,inf,inf,inf,inf
14,inf,inf,inf,inf,inf,inf
15,inf,inf,inf,inf,inf,inf
16,inf,inf,inf,inf,inf,inf
17,inf,inf,inf,inf,inf,inf
18,inf,inf,inf,inf,inf,inf
19,inf,inf,inf,inf,inf,inf
20,inf,inf,inf,inf,inf,inf
21,inf,inf,inf,inf,inf,inf
22,inf,inf,inf,inf,inf,inf
23,inf,inf,inf,inf,inf,inf
24,inf,inf,inf,inf,inf,inf
25,inf,inf,inf,inf,inf,inf
26,inf,inf,inf,inf,inf,inf
27,inf,inf,inf,inf,inf,inf
28,inf,inf,inf,inf,inf,inf
29,inf,inf,inf,inf,inf,inf
30,inf,inf,inf,inf,inf,inf
31,inf,inf,inf,inf,inf,inf
32,inf,inf,inf,inf,inf,inf
33,inf,inf,inf,inf,inf,inf
34,inf,inf,inf,inf,inf,inf
35,inf,inf,inf,inf,inf,inf
36,inf,inf,inf,inf,inf,inf
37,inf,inf,inf,inf,inf,inf
